date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 29, 2024","1,199 sqft",2bd,2bd,"$295,000","G.M. Smith & Son Realtors, Closed",259 N  Martha St, Lombard,Illinois,60148
"AUG 29, 2024","2,038 sqft",4bd,4bd,"$295,000","Partners Real Estate of IL, Closed",383 N  Vista Ave, Lombard,Illinois,60148
"AUG 29, 2024","1,530 sqft",3bd,3bd,"$365,000","RE/MAX Suburban, Closed",206 S  Princeton Ave, Villa Park,Illinois,60181
"AUG 29, 2024","1,575 sqft (on 2.15 acres)",2bd,2bd,"$360,000","Exclusive Realtors, Closed",1129 E  Addison Ave, Lombard,Illinois,60148
"AUG 29, 2024","1,209 sqft",3bd,3bd,"$359,000","Doran & Associates, Closed",900 S  Edson Ave, Lombard,Illinois,60148
"AUG 29, 2024","2,100 sqft",3bd,3bd,"$485,000","RE/MAX Properties, Closed",2S749 Theresa Ct, Oak Brook,Illinois,60523
"AUG 29, 2024","2,679 sqft",4bd,4bd,"$498,000","@properties Christie's International Real Estate, Closed",1409 35th St, Downers Grove,Illinois,60515
"AUG 29, 2024","1,768 sqft",3bd,3bd,"$425,000","CS Real Estate, Closed",3187 Bennett Pl, Aurora,Illinois,60502
"AUG 29, 2024","1,476 sqft",4bd,4bd,"$285,000","eXp Realty, LLC, Closed",5S036 Firestone Ct, Naperville,Illinois,60563
"AUG 29, 2024","1,428 sqft",2bd,2bd,"$286,000","4 Sale Realty, Inc., Closed",1315 Woodchuck Ln, Naperville,Illinois,60563
"AUG 29, 2024",843 sqft,1bd,1bd,"$193,000","Redfin Corporation, Closed",462 Valley Dr #100, Naperville,Illinois,60563
"AUG 29, 2024","1,223 sqft",2bd,2bd,"$295,500","The HomeCourt Real Estate, Closed",1011 Woodview Ct, Aurora,Illinois,60502
"AUG 29, 2024","1,052 sqft",2bd,2bd,"$238,200","RE/MAX Action, Closed",403 Trenton Ct, Aurora,Illinois,60504
"AUG 29, 2024","2,725 sqft (on 0.32 acres)",4bd,4bd,"$811,000","@properties Christie's International Real Estate, Closed",1111 Homer Ct, Naperville,Illinois,60540
"AUG 29, 2024","2,288 sqft (on 0.27 acres)",4bd,4bd,"$590,000","Compass, Closed",1124 Hannah Ct, Naperville,Illinois,60540
