date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-26,2.0,2.0,800000.0,Scenic Real Estate,4100 E  County Highway 30A #302, Santa Rosa Beach,Florida,32459,870.0
2024-08-26,2.0,2.0,410000.0,Mainsail Realty Company,2606 Scenic Gulf Dr #4412, Miramar Beach,Florida,32550,1060.0
2024-08-26,4.0,4.0,420000.0,Keller Williams Realty Navarre,7013 Calle Cabeza De Vaca, Navarre,Florida,32566,2285.0
2024-08-26,1.0,1.0,310000.0,Engel & Volkers 30A Beaches,17462 Front Beach Rd #57203, Panama City Beach,Florida,32413,770.0
2024-08-26,1.0,1.0,115000.0,Beach Realty of Florida,253 Hayden Rd, Tallahassee,Florida,32304,490.0
2024-08-26,1.0,1.0,485000.0,"Brooks, Shorey & Associates",866 Santa Rosa Blvd #215, Fort Walton Beach,Florida,32548,820.0
2024-08-26,2.0,2.0,650000.0,Rock-It Real Estate,1 Beach Club Dr #305, Miramar Beach,Florida,32550,1591.0
2024-08-26,3.0,3.0,207500.0,KELLER WILLIAMS REALTY GULF COAST,6451 Appaloosa Ave, Milton,Florida,32570,1239.0
2024-08-26,4.0,4.0,1000000.0,Sandestin Real Estate,9700 Grand Sandestin Blvd #4504, Miramar Beach,Florida,32550,2393.0
2024-08-26,4.0,4.0,180000.0,KELLER WILLIAMS REALTY GULF COAST,6476 Bay Oaks Dr, Milton,Florida,32583,1789.0
2024-08-26,4.0,4.0,305000.0,Xcellence Realty,1217 Rustling Pines Blvd, Midway,Florida,32343,1986.0
2024-08-26,3.0,3.0,250000.0,Salter Company,5427 Douglas St, Milton,Florida,32570,1568.0
2024-08-26,3.0,3.0,633500.0,Unknown,4100 Marriott Dr #612, Panama City Beach,Florida,32408,1595.0
2024-08-26,4.0,4.0,898000.0,Hill Spooner & Elliott Inc,9114 Oakfair Dr, Tallahassee,Florida,32317,3804.0
2024-08-26,3.0,3.0,330000.0,Unknown,122 White Cap Way, Panama City Beach,Florida,32407,1092.0
2024-08-26,3.0,3.0,335000.0,Unknown,5611 Dune Creek Trl, Panama City,Florida,32404,1542.0
2024-08-26,4.0,4.0,260000.0,Timber & Tides Real Estate,20 Lee St, Crawfordville,Florida,32327,1431.0
2024-08-26,3.0,3.0,378000.0,Key Impressions,9917 Aileron Ave, Pensacola,Florida,32506,1650.0
2024-08-26,4.0,4.0,490000.0,"Gulf Real Estate Group, LLC",5560 Cruzat Way, Perdido Key,Florida,32507,2277.0
